baquíades € baquíade € NCCP000 € bəkˈiəðəs
bàquic € bàquic € AQ0MS0 € bˈakik
bàquica € bàquic € AQ0FS0 € bˈakikə
bàquics € bàquic € AQ0MP0 € bˈakiks
bàquiques € bàquic € AQ0FP0 € bˈakikəs
Bar € Bar € NPCNSP0 € bˈar
bar € bar € NCMS000 € bˈar
Bar-le-Duc € Bar-le-Duc € NPCSG00 € bˈarlˈeðˈuk
Bara € Bara € NPCNSP0 € bˈaɾə
Barà € Barà € NPCSG00 € bəɾˈa
Barabar € Barabar € NPCSG00 € bəɾəβˈa
baraca € baraca € NCFS000 € bəɾˈakə
Baradat € Baradat € NPCNSP0 € bəɾəðˈat
baragnòsia € baragnòsia € NCFS000 € bəɾəɡnˈɔziə
baragnòsies € baragnòsia € NCFP000 € bəɾəɡnˈɔziəs
Barahona € Barahona € NPCSG00 € bəɾəˈonə
Barajas € Barajas € NPCSG00 € bəɾˈaʒəs
bàral € bàral € NCMS000 € bˈaɾəl
baralla € baralla € NCFS000 € bəɾˈaʎə
baralla € barallar € VMIP3S00 € bəɾˈaʎə
baralla € barallar € VMM02S00 € bəɾˈaʎə
barallà € barallar € VMIS3S00 € bəɾəʎˈa
barallada € barallar € VMP00SF0 € bəɾəʎˈaðə
barallades € barallar € VMP00PF0 € bəɾəʎˈaðəs
baralladís € baralladís € AQ0MS0 € bəɾəʎəðˈis
baralladissa € baralladís € AQ0FS0 € bəɾəʎəðˈisə
baralladisses € baralladís € AQ0FP0 € bəɾəʎəðˈisəs
baralladissos € baralladís € AQ0MP0 € bəɾəʎəðˈisus
barallant € barallar € VMG00000 € bəɾəʎˈan
barallar € barallar € VMN00000 € bəɾəʎˈa
barallarà € barallar € VMIF3S00 € bəɾəʎəɾˈa
barallaran € barallar € VMIF3P00 € bəɾəʎəɾˈan
barallaràs € barallar € VMIF2S00 € bəɾəʎəɾˈas
barallaré € barallar € VMIF1S00 € bəɾəʎəɾˈe
barallarem € barallar € VMIF1P00 € bəɾəʎəɾˈɛm
barallàrem € barallar € VMIS1P00 € bəɾəʎˈaɾəm
barallaren € barallar € VMIS3P00 € bəɾəʎˈaɾən
barallares € barallar € VMIS2S00 € bəɾəʎˈaɾəs
barallareu € barallar € VMIF2P00 € bəɾəʎəɾˈɛw
barallàreu € barallar € VMIS2P00 € bəɾəʎˈaɾəw
barallaria € barallar € VMCC1S00 € bəɾəʎəɾˈiə
barallaríem € barallar € VMCC1P00 € bəɾəʎəɾˈiəm
barallarien € barallar € VMCC3P00 € bəɾəʎəɾˈiən
barallaries € barallar € VMCC2S00 € bəɾəʎəɾˈiəs
barallaríeu € barallar € VMCC2P00 € bəɾəʎəɾˈiəw
barallat € barallar € VMP00SM0 € bəɾəʎˈat
barallats € barallar € VMP00PM0 € bəɾəʎˈats
barallava € barallar € VMII1S00 € bəɾəʎˈaβə
barallàvem € barallar € VMII1P00 € bəɾəʎˈaβəm
barallaven € barallar € VMII3P00 € bəɾəʎˈaβən
barallaves € barallar € VMII2S00 € bəɾəʎˈaβəs
barallàveu € barallar € VMII2P00 € bəɾəʎˈaβəw
barallem € barallar € VMIP1P00 € bəɾəʎˈɛm
barallem € barallar € VMM01P00 € bəɾəʎˈɛm
barallem € barallar € VMSP1P00 € bəɾəʎˈɛm
barallen € barallar € VMIP3P00 € bəɾˈaʎən
baralles € baralla € NCFP000 € bəɾˈaʎəs
baralles € barallar € VMIP2S00 € bəɾˈaʎəs
barallés € barallar € VMSI1S01 € bəɾəʎˈes
baralléssim € barallar € VMSI1P02 € bəɾəʎˈesim
barallessin € barallar € VMSI3P02 € bəɾəʎˈesin
barallessis € barallar € VMSI2S02 € bəɾəʎˈesis
baralléssiu € barallar € VMSI2P02 € bəɾəʎˈesiw
baralleu € barallar € VMIP2P00 € bəɾəʎˈɛw
