Catai € Catai € NPCSG00 € kətˈaj
cataifa € cataifa € NCFS000 € kətˈajfə
cataifes € cataifa € NCFP000 € kətˈajfəs
Català € Català € NPCNSP0 € kətəlˈa
català € català € AQ0MS0 € kətəlˈa
català € català € NCMS000 € kətəlˈa
Catalana € Catalana € NPFSG00 € kətəlˈanə
catalana € català € AQ0FS0 € kətəlˈanə
catalana € català € NCFS000 € kətəlˈanə
catalanada € catalanada € NCFS000 € kətələnˈaðə
catalanades € catalanada € NCFP000 € kətələnˈaðəs
catalanegem € catalanejar € VMIP1P00 € kətələnəʒˈɛm
catalanegem € catalanejar € VMM01P00 € kətələnəʒˈɛm
catalanegem € catalanejar € VMSP1P00 € kətələnəʒˈɛm
catalanegen € catalanejar € VMIP3P00 € kətələnˈeʒən
catalaneges € catalanejar € VMIP2S00 € kətələnˈeʒəs
catalanegés € catalanejar € VMSI1S01 € kətələnəʒˈes
catalanegéssim € catalanejar € VMSI1P02 € kətələnəʒˈesim
catalanegessin € catalanejar € VMSI3P02 € kətələnəʒˈesin
catalanegessis € catalanejar € VMSI2S02 € kətələnəʒˈesis
catalanegéssiu € catalanejar € VMSI2P02 € kətələnəʒˈesiw
catalanegeu € catalanejar € VMIP2P00 € kətələnəʒˈɛw
catalanegeu € catalanejar € VMM02P0X € kətələnəʒˈɛw
catalanegeu € catalanejar € VMSP2P00 € kətələnəʒˈɛw
catalanegi € catalanejar € VMM03S0Y € kətələnˈeʒi
catalanegi € catalanejar € VMSP1S0Y € kətələnˈeʒi
catalanegí € catalanejar € VMIS1S00 € kətələnəʒˈi
catalanegin € catalanejar € VMM03P0Y € kətələnˈeʒin
catalanegin € catalanejar € VMSP3P0Y € kətələnˈeʒin
catalanegis € catalanejar € VMSP2S0Y € kətələnˈeʒis
catalaneja € catalanejar € VMIP3S00 € kətələnˈɛʒə
catalaneja € catalanejar € VMM02S00 € kətələnˈɛʒə
catalanejà € catalanejar € VMIS3S00 € kətələnəʒˈa
catalanejada € catalanejar € VMP00SF0 € kətələnəʒˈaðə
catalanejades € catalanejar € VMP00PF0 € kətələnəʒˈaðəs
catalanejant € catalanejar € VMG00000 € kətələnəʒˈan
catalanejar € catalanejar € VMN00000 € kətələnəʒˈa
catalanejarà € catalanejar € VMIF3S00 € kətələnəʒəɾˈa
catalanejaran € catalanejar € VMIF3P00 € kətələnəʒəɾˈan
catalanejaràs € catalanejar € VMIF2S00 € kətələnəʒəɾˈas
catalanejaré € catalanejar € VMIF1S00 € kətələnəʒəɾˈe
catalanejarem € catalanejar € VMIF1P00 € kətələnəʒəɾˈɛm
catalanejàrem € catalanejar € VMIS1P00 € kətələnəʒˈaɾəm
catalanejaren € catalanejar € VMIS3P00 € kətələnəʒˈaɾən
catalanejares € catalanejar € VMIS2S00 € kətələnəʒˈaɾəs
catalanejareu € catalanejar € VMIF2P00 € kətələnəʒəɾˈɛw
catalanejàreu € catalanejar € VMIS2P00 € kətələnəʒˈaɾəw
catalanejaria € catalanejar € VMCC1S00 € kətələnəʒəɾˈiə
catalanejaríem € catalanejar € VMCC1P00 € kətələnəʒəɾˈiəm
catalanejarien € catalanejar € VMCC3P00 € kətələnəʒəɾˈiən
catalanejaries € catalanejar € VMCC2S00 € kətələnəʒəɾˈiəs
catalanejaríeu € catalanejar € VMCC2P00 € kətələnəʒəɾˈiəw
